State,Year,PM25
Tennessee,2019,33.595565149136576
Tennessee,2020,32.746173469387756
Tennessee,2021,35.85586734693877
Texas,2015,34.88638410446921
Texas,2016,33.209087116471345
Texas,2017,33.031542531542534
Texas,2018,36.29120879120879
Texas,2019,32.99103395364556
Texas,2020,36.327925185657385
Texas,2021,34.87402993746059
Utah,2015,32.666666666666664
Utah,2016,27.798941798941797
Utah,2017,27.41269841269841
Utah,2018,22.62087912087912
Utah,2019,22.664246467817897
Utah,2020,30.214285714285715
Utah,2021,31.900510204081634
Washington,2015,29.206349206349206
Washington,2016,23.048128342245988
Washington,2017,20.978835978835978
Washington,2018,21.016483516483518
Washington,2019,26.869309262166404
Washington,2020,27.724489795918366
Washington,2021,24.04081632653061
Wisconsin,2015,35.39153439153439
Wisconsin,2016,33.893048128342244
Wisconsin,2017,29.645502645502646
Wisconsin,2018,32.77472527472528
Wisconsin,2019,32.82947409733124
Wisconsin,2020,32.17857142857143
Wisconsin,2021,36.43877551020408
