Country,Year,PM25
SG,2020,41.98724489795919
SG,2021,44.82397959183673
SK,2015,71.29569892473118
SK,2016,48.45255474452555
SK,2017,65.37301587301587
SK,2018,62.29943502824859
SK,2019,53.23281440781441
SK,2020,51.80484693877551
SK,2021,55.65480665950591
SV,2015,106.5163043478261
SV,2016,90.80745341614907
SV,2017,99.67027027027027
SV,2018,86.97126436781609
SV,2019,71.6980806112026
SV,2020,68.28220663265307
SV,2021,79.23469387755102
TH,2016,112.78888888888889
TH,2017,76.66858638743456
TH,2018,83.36122840690979
TH,2019,75.82485338453124
TH,2020,68.82375954092714
TH,2021,68.6259475218659
TJ,2019,112.14760268368518
TJ,2020,110.77535076530611
TJ,2021,120.13121811224491
TM,2019,62.56853281853282
TM,2020,55.59491792743687
TM,2021,66.14818556666033
TR,2015,63.873479318734795
TR,2016,74.27376425855513
TR,2017,79.85811227637261
TR,2018,74.316052467208
TR,2019,68.60537576307574
TR,2020,68.67744258639674
TR,2021,68.2490539815625
TW,2015,70.59729570840682
TW,2016,68.05645645645646
TW,2017,67.02186761229315
TW,2018,66.11294261294262
TW,2019,57.22850165707308
TW,2020,49.400054561073574
TW,2021,53.310385732045376
UA,2019,44.76230303712038
UA,2020,38.30923750908532
UA,2021,43.33919700999931
UG,2017,105.56589147286822
UG,2018,124.70760233918129
UG,2019,133.14771051914084
UG,2020,128.90095524775978
UG,2021,127.13790609739556
US,2015,34.506380510440835
US,2016,30.67056935133604
US,2017,30.179561633570625
US,2018,31.71613029443412
US,2019,30.447810835527754
US,2020,31.95022970790808
US,2021,32.536855739673676
UZ,2019,96.9291232859756
UZ,2020,97.10690840003234
UZ,2021,108.29332449665196
VN,2015,79.0126582278481
VN,2016,92.71469740634005
VN,2017,85.36482939632546
VN,2018,90.34072022160665
VN,2019,61.886716156951906
VN,2020,46.274886268891294
VN,2021,49.29814847079385
XK,2016,47.97938144329897
XK,2017,82.43315508021391
XK,2018,70.0284090909091
XK,2019,66.96350078492935
XK,2020,69.63010204081633
XK,2021,66.88833368398906
ZA,2019,55.93921673006264
ZA,2020,50.73730712166193
ZA,2021,50.80470545768262
